micro_market,zip_code,property_type,price_bucket,sqft_bucket,beds,baths,n_listings,median_dom_days,p75_dom_days,pct_fast_seller,observed_ratio
27265|single_family|na|na|na|na,27265,single_family,na,na,na,na,9,5.0,5.0,77.8,0.0
27103|townhome|na|1000-1500|2|1,27103,townhome,na,1000-1500,2,1,6,15.0,40.75,66.7,0.0
27260|single_family|na|na|na|na,27260,single_family,na,na,na,na,6,15.5,21.5,100.0,0.0
27107|single_family|na|500-1000|1|1,27107,single_family,na,500-1000,1,1,5,19.0,68.0,60.0,0.0
27104|townhome|na|1000-1500|2|2,27104,townhome,na,1000-1500,2,2,16,21.0,40.0,68.8,0.0
27106|townhome|na|1500-2000|2|2,27106,townhome,na,1500-2000,2,2,6,21.5,46.5,66.7,0.0
27265|single_family|na|2500-3000|5|3,27265,single_family,na,2500-3000,5,3,5,23.0,37.0,80.0,0.0
27262|single_family|na|500-1000|2|1,27262,single_family,na,500-1000,2,1,26,25.0,44.5,73.1,0.0
27105|single_family|na|1000-1500|4|2,27105,single_family,na,1000-1500,4,2,5,26.0,26.0,80.0,0.0
27107|single_family|na|1000-1500|2|2,27107,single_family,na,1000-1500,2,2,5,26.0,33.0,80.0,0.0
27410|single_family|na|500-1000|2|2,27410,single_family,na,500-1000,2,2,5,26.0,40.0,80.0,0.0
27403|single_family|na|1500-2000|3|1,27403,single_family,na,1500-2000,3,1,7,26.0,36.5,71.4,0.0
27104|single_family|na|500-1000|2|2,27104,single_family,na,500-1000,2,2,19,26.0,40.5,68.4,0.0
27103|single_family|na|1500-2000|3|3,27103,single_family,na,1500-2000,3,3,8,26.0,57.5,62.5,0.0
27407|single_family|na|1000-1500|2|1,27407,single_family,na,1000-1500,2,1,5,26.0,63.0,60.0,0.0
27106|single_family|na|3500-4000|4|4,27106,single_family,na,3500-4000,4,4,8,26.5,32.5,75.0,0.0
27403|single_family|na|1000-1500|2|1,27403,single_family,na,1000-1500,2,1,32,27.5,42.75,71.9,0.0
27106|single_family|na|1500-2000|4|2,27106,single_family,na,1500-2000,4,2,23,28.0,47.5,60.9,0.0
27127|single_family|na|500-1000|2|2,27127,single_family,na,500-1000,2,2,6,28.5,34.0,83.3,0.0
27103|single_family|na|500-1000|3|1,27103,single_family,na,500-1000,3,1,8,28.5,41.75,62.5,0.0
27106|single_family|na|1000-1500|2|1,27106,single_family,na,1000-1500,2,1,24,28.5,44.75,62.5,0.0
27104|single_family|na|500-1000|2|1,27104,single_family,na,500-1000,2,1,13,29.0,46.0,69.2,0.0
27265|townhome|na|1000-1500|2|2,27265,townhome,na,1000-1500,2,2,6,29.0,69.0,66.7,0.0
27455|single_family|na|2000-2500|3|2,27455,single_family,na,2000-2500,3,2,13,29.0,40.0,61.5,0.0
27105|single_family|na|1000-1500|2|2,27105,single_family,na,1000-1500,2,2,8,29.5,42.25,75.0,0.0
27410|single_family|na|2500-3000|3|2,27410,single_family,na,2500-3000,3,2,8,29.5,48.75,75.0,0.0
27105|single_family|na|1000-1500|4|1,27105,single_family,na,1000-1500,4,1,8,30.0,61.5,62.5,0.0
27408|single_family|na|1500-2000|2|2,27408,single_family,na,1500-2000,2,2,5,30.0,46.0,60.0,0.0
27408|single_family|na|2500-3000|3|2,27408,single_family,na,2500-3000,3,2,10,30.0,51.5,60.0,0.0
27104|single_family|na|1500-2000|2|2,27104,single_family,na,1500-2000,2,2,6,30.5,43.5,66.7,0.0
27106|single_family|na|2500-3000|5|3,27106,single_family,na,2500-3000,5,3,6,31.0,60.0,66.7,0.0
27127|single_family|na|1000-1500|4|2,27127,single_family,na,1000-1500,4,2,5,31.0,41.0,60.0,0.0
27101|single_family|na|2000-2500|3|2,27101,single_family,na,2000-2500,3,2,12,31.0,57.5,58.3,0.0
27406|single_family|na|500-1000|2|1,27406,single_family,na,500-1000,2,1,30,31.5,57.75,60.0,0.0
