beds,baths_bucket,avg_prob,listings
7,3.0,0.8824,1
9,1.0,0.878,1
7,4.0,0.7871,1
13,11.0,0.7756,1
3,7.0,0.7756,1
6,5.0,0.770625,4
2,4.0,0.7196,1
5,5.0,0.7082413793103449,29
6,7.0,0.6899,1
17,13.0,0.6899,1
6,2.0,0.6593,9
6,3.0,0.658675,12
5,7.0,0.6583,1
3,3.5,0.64725,2
2,2.5,0.637075,4
4,1.0,0.6368706766917294,133
6,1.0,0.6292,3
1,1.0,0.6268850828729282,181
5,4.0,0.6262965277777778,144
24,24.0,0.6252,1
5,2.0,0.6241064516129032,93
4,2.0,0.6208052430365921,1831
4,4.0,0.6189161417322835,254
2,1.0,0.6179912659470069,2038
3,4.0,0.6171189189189189,37
3,3.0,0.6149755828220859,815
3,2.0,0.6148788789294282,7921
3,1.0,0.6133465224766751,2358
6,4.0,0.6120230769230769,26
4,3.0,0.6119861132660978,1289
2,2.0,0.609642736248237,1418
4,3.5,0.609,1
3,5.0,0.609,1
3,1.5,0.60795,18
5,3.0,0.6070694078947368,304
5,1.0,0.6055272727272727,11
3,2.5,0.605234375,32
2,3.0,0.6050906976744186,43
2,1.5,0.5897142857142857,7
3,6.0,0.5862,1
5,1.5,0.5859,1
5,6.0,0.5794428571428571,7
4,6.0,0.5775250000000001,4
1,2.0,0.5768666666666666,12
5,10.0,0.5754,1
7,5.0,0.5753,4
6,6.0,0.55816,5
4,5.0,0.5568307692307692,26
5,3.5,0.5358,1
5,8.0,0.5289,1
7,1.0,0.5159,1
4,2.5,0.5118499999999999,4
